alert_id,malicious_probability,asset_criticality,behavior_severity,evidence_confidence_factor,risk_score,priority,context_source
A001,0.9980799019447694,0.75,0.8,0.85,0.5090207499918324,High,illustrative
A002,0.0028094847422521765,0.55,0.6,1.0,0.0009271299649432183,Low,illustrative
A003,0.0028094847422521765,0.95,1.0,1.0,0.0026690105051395676,Low,illustrative
A004,0.0028094847422521765,0.75,1.0,0.85,0.0017910465231857622,Low,illustrative
A005,0.9980799019447694,0.35,0.8,1.0,0.27946237254453543,Medium,illustrative
A006,0.9980799019447694,0.95,0.4,1.0,0.3792703627390124,Medium,illustrative
A007,0.0035777650414946407,0.75,0.6,0.85,0.0013684951283717,Low,illustrative
A008,0.9980799019447694,0.75,0.4,0.85,0.2545103749959162,Medium,illustrative
A009,0.0028094847422521765,0.35,0.4,1.0,0.0003933278639153047,Low,illustrative
A010,0.9980799019447694,0.55,0.8,0.7,0.307408609798989,Medium,illustrative
A011,0.9980799019447694,0.55,0.8,0.7,0.307408609798989,Medium,illustrative
A012,0.003170511620641779,0.95,1.0,0.7,0.0021083902277267827,Low,illustrative
A013,0.9980799019447694,0.75,0.6,1.0,0.4491359558751462,Medium,illustrative
A014,0.9980799019447694,0.75,0.6,1.0,0.4491359558751462,Medium,illustrative
A015,0.9980799019447694,0.55,0.6,1.0,0.3293663676417739,Medium,illustrative
A016,0.9980799019447694,0.35,0.4,1.0,0.13973118627226772,Low,illustrative
A017,0.0029320150689926493,0.55,0.4,0.85,0.0005482868179016255,Low,illustrative
A018,0.9980799019447694,0.35,0.6,1.0,0.20959677940840155,Low,illustrative
A019,0.0028094847422521765,0.75,0.4,0.7,0.0005899917958729569,Low,illustrative
A020,0.9980799019447694,0.75,0.8,0.7,0.41919355881680315,Medium,illustrative
